Designator,Mid X,Mid Y,Rotation,Layer
C1,31.3,4.7,270.0,top
C10,17.1,13.3,270.0,top
C11,4.5,8.5,180.0,top
C12,29.272893,56.8,180.0,top
C13,14.4,56.1,180.0,top
C14,14.4,54.6,180.0,top
C15,27.195653,53.80276,180.0,top
C16,30.003413,60.56,0.0,top
C17,30.003413,58.655,0.0,top
C18,27.295653,55.10276,0.0,top
C19,25.9,60.8,180.0,top
C2,25.4,6.6,270.0,top
C20,25.7,62.5,180.0,top
C21,15.28,62.3,180.0,top
C22,15.3,61.0,180.0,top
C23,15.3,59.6,180.0,top
C24,15.3,58.2,180.0,top
C25,25.8,57.9,180.0,top
C26,25.8,59.3,0.0,top
C27,6.1,38.7,270.0,top
C28,4.1,38.7,270.0,top
C29,11.8,34.0,180.0,top
C3,5.58,2.1,180.0,top
C30,11.8,36.2,180.0,top
C31,11.685,38.11,180.0,top
C32,9.1,31.7,180.0,top
C33,20.4,41.68,270.0,top
C34,11.3,42.6,90.0,top
C36,10.62,9.1,180.0,top
C37,32.4,19.8,315.0,top
C38,31.2,18.6,315.0,top
C39,45.4,26.5,0.0,top
C4,28.97,2.4,0.0,top
C5,42.6,20.6,270.0,top
C6,10.62,6.7,180.0,top
C7,33.7,32.6,90.0,top
C8,35.6,32.625,270.0,top
C9,15.2,13.275,270.0,top
D1,43.9,1.2,180.0,top
J1,16.9,-0.1,0.0,top
J2,35.0,68.4,270.0,top
J4,48.3,62.62,0.0,top
J5,3.3,19.325,90.0,top
J6,52.3,62.58,0.0,top
J7,44.3,62.62,0.0,top
J8,45.8,9.9,270.0,top
L1,5.1,40.5,0.0,top
L2,11.8,31.7,180.0,top
L4,13.4,7.8,90.0,top
R1,4.5,9.8,0.0,top
R13,22.9,40.79,270.0,top
R14,13.25,42.2,90.0,top
R3,40.5,1.1,0.0,top
R5,27.3,48.33,0.0,top
R6,21.6,5.8,0.0,top
R7,10.0,-0.39,270.0,top
R8,27.3,50.87,0.0,top
R9,27.3,49.6,0.0,top
RV1,51.0,27.7,180.0,top
RV2,51.0,35.9,180.0,top
SW1,5.6,-0.8,180.0,top
SW2,29.1,-0.6,0.0,top
U1,29.2,11.9,0.0,top
U2,17.2,19.6,180.0,top
U3,17.2,7.675,90.0,top
U4,36.1,25.7,90.0,top
U5,20.525653,57.19724,90.0,top
U6,22.4,33.0,0.0,top
Y1,17.05,42.1,270.0,top
