Designator,Mid X,Mid Y,Rotation,Layer
C1,206.9125,-111.7875,0.0,top
C10,206.6625,-94.675,0.0,top
C11,116.4875,-38.175,0.0,top
C12,124.4875,-59.175,0.0,top
C13,135.45,-48.2125,270.0,top
C14,110.45,-54.1375,90.0,top
C15,110.5,-67.0,270.0,top
C16,91.0375,-77.0,0.0,top
C17,101.0375,-96.0,0.0,top
C18,111.0,-87.9625,270.0,top
C19,87.0,-94.9625,90.0,top
C2,207.875,-130.7875,0.0,top
C20,88.5,-101.6,0.0,top
C21,90.0375,-108.0,0.0,top
C22,101.0375,-126.0,0.0,top
C23,113.0,-117.0375,270.0,top
C24,88.0,-121.9625,90.0,top
C25,93.9625,-126.0,180.0,top
C26,126.9425,-156.655,0.0,top
C27,137.9425,-175.655,0.0,top
C28,149.905,-165.6925,270.0,top
C29,123.905,-171.6175,90.0,top
C3,224.9125,-120.7875,270.0,top
C30,131.661395,-175.1,180.0,top
C31,114.1,-62.3625,90.0,top
C32,204.7375,-136.2,180.0,top
C33,206.7375,-101.6,0.0,top
C34,97.9375,-103.1,0.0,top
C35,136.6,-146.4,0.0,top
C36,105.2375,-130.6,0.0,top
C4,215.7,-131.8,0.0,top
C5,200.9125,-126.825,90.0,top
C6,204.625,-76.675,0.0,top
C7,214.7375,-95.3,0.0,top
C8,224.625,-84.6375,270.0,top
C9,198.6625,-90.675,0.0,top
J1,141.125,-42.0,270.0,bottom
MK1,217.15,-167.375,0.0,top
MK2,217.75,-91.575,0.0,top
MK3,154.525,-56.75,0.0,top
MK4,91.3,-90.8,0.0,top
MK5,91.95,-167.65,0.0,top
MK6,152.65,-202.35,0.0,top
R1,195.9125,-118.7875,90.0,top
R10,81.0,-87.0,90.0,top
R11,96.0,-100.3,0.0,top
R12,88.0,-87.0,0.0,top
R13,83.0,-116.0,90.0,top
R14,134.6375,-150.13,180.0,top
R15,89.0,-116.0,0.0,top
R16,117.905,-164.655,90.0,top
R17,100.4575,-130.93,0.0,top
R18,124.905,-164.655,0.0,top
R2,118.6,-63.5,180.0,top
R3,201.9125,-118.7875,0.0,top
R4,193.625,-84.675,90.0,top
R5,209.5175,-136.11,180.0,top
R6,200.625,-82.675,0.0,top
R7,104.45,-48.175,90.0,top
R8,203.4,-99.5,180.0,top
R9,111.45,-47.175,0.0,top
U1,215.9125,-117.7875,270.0,top
U2,215.245,-81.055,270.0,top
U3,126.45,-44.555,270.0,top
U4,102.0,-83.38,270.0,top
U5,103.08,-113.38,270.0,top
U6,139.725,-161.655,270.0,top
